No	Symbol	StockName	Sector	Industry
347	CDE	コー・マイニング	素材	金
348	CDLX	CardlyticsInc	電気通信	広告
349	CDMO	アビド・バイオサ...	ヘルスケア	バイオテクノロジー
350	CDNA	ケアDX	ヘルスケア	診断・研究
351	CDRE	CadreHoldingInc	資本財	航空宇宙・防衛
352	CDXS	コデクシス	ヘルスケア	バイオテクノロジー
353	CEIX	コンソル・エナジー	素材	石炭・消耗燃料
354	CELH	セルシウス・ホー...	生活必需品	清涼飲料
355	CELL	Brightpoint Inc	その他	その他
356	CELU	CELU	ヘルスケア	バイオテクノロジー
357	CENN	Cenntro Electric ...	Consumer Cyclical	Auto Manufacturers
358	CENT	セントラル・ガー...	生活必需品	Packaged Foods
359	CENTA	セントラル・ガー...	生活必需品	家庭用品
360	CENX	センチュリー・ア...	素材	アルミ
361	CERE	セレス	ヘルスケア	バイオテクノロジー
362	CERS	シーラス	ヘルスケア	バイオテクノロジー
363	CEVA	シーイーブイエー	情報技術	半導体
364	CFB	CrossFirstBanksha...	金融	Banks-Regional
365	CFFN	キャピトル・フェ...	金融	貯蓄・抵当・不動産金融
366	CGEM	CullinanManagemen...	その他	その他
367	CHCO	シティー・ホール...	金融	アメリカ地域銀行
368	CHCT	コミュニティ・ヘ...	不動産	REIT-Healthcare Facilities
369	CHEF	シェフズ・ワーハ...	生活必需品	食品流通
370	CHGG	チェッグ	一般消費財	教育サービス
371	CHRD	CHORDIANT SOFTWAR...	情報技術	その他
372	CHRS	コヘルス・バイオ...	ヘルスケア	バイオテクノロジー
373	CHS	チコズ・エフエーエス	一般消費財	衣料小売り
374	CHUY	チェイズ・ホール...	一般消費財	レストラン
375	CHX	チャンピオンX	エネルギー	石油・ガス装置・サービス
376	CIFR	グッド・ワークス...	金融サービス	総合資本市場
377	CIM	キメラ・インベス...	金融	REIT-Mortgage
378	CIO	シティ・オフィスREIT	不動産	オフィス不動産投資信託
379	CIR	サーコア・インタ...	資本財	その他製造業
380	CISO	CerberusCyberSent...	テクノロジー	Software-Infrastructure
381	CIVB	シビスタ・バンク...	金融	地方銀行
382	CIVI	シビタズ・ソリュ...	エネルギー	Oil & Gas E&P
383	CIX	CompX Internation...	資本財	セキュリティ・警報装置サービス
384	CLAR	クラルス・コーポ...	一般消費財	レジャー用品
385	CLBK	ColumbiaFinancialInc	金融	貯蓄・抵当・不動産金融
386	CLDT	チャタム・ロッジ...	不動産	REIT-Hotel & Motel
387	CLDX	セルデックス・セ...	ヘルスケア	バイオテクノロジー
388	CLFD	クリアフィールド	情報技術	通信機器
389	CLNE	クリーン・エナジ...	エネルギー	石油・ガス精製・販売
390	CLOV	クローバー・ヘル...	その他	その他
391	CLPR	クリッパー・リア...	不動産	REIT-Diversified
392	CLSK	クリーンスパーク	情報技術	Software-Application
393	CLW	クリアウォーター...	素材	紙製品
394	CMAX	CareMax, Inc	ヘルスケア	Health Information Services
395	CMBM	CambiumNetworksCorp	情報技術	その他
396	CMC	コマーシャル・メ...	素材	鉄鋼
397	CMCO	コロンブス・マッ...	資本財	農業機械
398	CMLS	キュムラス・メディア	電気通信	放送
399	CMP	コンパス・ミネラ...	素材	貴金属・鉱物
400	CMPO	コンポセキュア	資本財	Metal Fabrication
401	CMPR	シンプレス	資本財	Advertising Agencies
402	CMRE	コスタマーレ	資本財	Marine Shipping
403	CMRX	キメリックス	ヘルスケア	バイオテクノロジー
404	CMTG	ClarosMortgageTru...	Real Estate	REIT-Mortgage
405	CMTL	コムテック・テレ...	情報技術	通信機器
406	CNDT	コンデュエント	資本財	サービス業
407	CNK	シネマーク・ホー...	一般消費財	その他メディア
408	CNMD	コンメド	ヘルスケア	ヘルスケア機器
409	CNNE	CannaeHoldingsInc	金融	レストラン
410	CNO	シーエヌオー・フ...	金融	生命保険・健康保険
411	CNOB	センター・バンコープ	金融	アメリカ地域銀行
412	CNS	コーヘン・アンド...	金融	資産運用会社・資産管理銀行
413	CNSL	コンソリデーテッ...	電気通信	総合電気通信サービス
414	CNTY	センチュリー・カ...	一般消費財	カジノ・ゲーム
415	CNX	コンソル・エナジー	エネルギー	石油・ガス探査・開発
416	CNXN	ピーシー・コネク...	一般消費財	コンピュータ・電子機器小売り
417	COCO	VitaCocoCoInc/The	Consumer Defensive	Beverages-Non-Alcoholic
418	CODI	コンパス・ディバ...	金融	マルチセクター持株会社
419	COGT	コジント	ヘルスケア	バイオテクノロジー
420	COHU	コヒュー	情報技術	半導体装置
421	COKE	コカコーラ・ボト...	生活必需品	清涼飲料
422	COLL	コレギウム・ファ...	ヘルスケア	医薬品
423	COMM	コムスコープ・ホ...	情報技術	通信機器
424	COMP	CompassInc	テクノロジー	Software-Application
425	CONN	コンズ	一般消費財	専門店
426	COOK	TraegerInc	景気連動型消費財	Furnishings, Fixtures & Applia
427	COOP	ミスター・クーパ...	金融	貯蓄・抵当・不動産金融
428	CORT	コーセプト・セラ...	ヘルスケア	バイオテクノロジー
429	COUR	CourseraInc	ディフェンシブ	教育サービス
430	CPE	キャロン・ペトロ...	エネルギー	石油・ガス探査・開発
431	CPF	セントラル・パシ...	金融	アメリカ地域銀行
432	CPK	チェサピーク・ユ...	公益事業	ガス
433	CPRX	カタリスト・ファ...	ヘルスケア	医薬品
434	CPSI	コンピュータ・プ...	情報技術	アプリケーション・ソフトウェア
435	CPSS	コンシューマー・...	金融	消費者金融
436	CPTN	Cepton Inc	テクノロジー	Software-Application
437	CRAI	シーアールエー・...	資本財	サービス業
438	CRBU	CaribouBioscience...	ヘルスケア	バイオテクノロジー
439	CRC	カリフォルニア・...	エネルギー	Oil & Gas E&P
440	CRD-A	クロフォード・ア...	金融サービス	保険ブローカー
441	CRDO	CredoTechnologyGr...	Technology	Communication Equipment
442	CRGE	チャージ・エンタ...	テクノロジー	Information Technology Service
443	CRGY	クレセント・エナジー	エネルギー	Oil & Gas E&P
444	CRK	コムストック・リ...	エネルギー	石油・ガス探査・開発
445	CRMT	アメリカズ・カー...	一般消費財	自動車小売り
446	CRNC	CerenceInc	情報技術	システム・ソフトウェア
447	CRNX	クリネティック・...	ヘルスケア	バイオテクノロジー
448	CROX	クロックス	一般消費財	アパレル・アクセサリー・贅沢品
449	CRS	カーペンター・テ...	素材	金属・ガラス容器
